CityName,CityShortName,CityCode,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
秦皇岛市,秦皇岛,1303,2022-01-11,10.0,9.0,1.0,0.0,,
邯郸市,邯郸,1304,2022-01-11,32.0,32.0,0.0,0.0,,
邢台市,邢台,1305,2022-01-11,96.0,95.0,1.0,0.0,,
保定市,保定,1306,2022-01-11,51.0,51.0,0.0,0.0,,
张家口市,张家口,1307,2022-01-11,43.0,43.0,0.0,0.0,,
承德市,承德,1308,2022-01-11,7.0,7.0,0.0,0.0,,
沧州市,沧州,1309,2022-01-11,49.0,46.0,3.0,0.0,,
廊坊市,廊坊,1310,2022-01-11,33.0,33.0,0.0,0.0,,
衡水市,衡水,1311,2022-01-11,8.0,8.0,0.0,0.0,,
定州市,,139001,,,,,,,
辛集市,,139002,,,,,,,
山西省,山西,14,2022-01-11,266.0,265.0,0.0,0.0,0.0,0.0
太原市,太原,1401,2022-01-11,21.0,21.0,0.0,0.0,,
大同市,大同,1402,2022-01-11,12.0,12.0,0.0,0.0,,
阳泉市,阳泉,1403,2022-01-11,4.0,4.0,0.0,0.0,,
长治市,长治,1404,2022-01-11,8.0,8.0,0.0,0.0,,
晋城市,晋城,1405,2022-01-11,10.0,10.0,0.0,0.0,,
朔州市,朔州,1406,2022-01-11,8.0,8.0,0.0,0.0,,
晋中市,晋中,1407,2022-01-11,41.0,41.0,0.0,0.0,,
运城市,运城,1408,2022-01-11,20.0,19.0,0.0,0.0,,
忻州市,忻州,1409,2022-01-11,7.0,7.0,0.0,0.0,,
临汾市,临汾,1410,2022-01-11,2.0,2.0,0.0,0.0,,
吕梁市,吕梁,1411,2022-01-11,6.0,6.0,0.0,0.0,,
内蒙古自治区,内蒙古,15,2022-01-11,1191.0,1185.0,1.0,0.0,0.0,0.0
呼和浩特市,呼和浩特,1501,2022-01-11,10.0,10.0,0.0,0.0,,
包头市,包头,1502,2022-01-11,11.0,11.0,0.0,0.0,,
乌海市,乌海,1503,2022-01-11,2.0,2.0,0.0,0.0,,
赤峰市,赤峰,1504,2022-01-11,9.0,9.0,0.0,0.0,,
通辽市,通辽,1505,2022-01-11,9.0,9.0,0.0,0.0,,
鄂尔多斯市,鄂尔多斯,1506,2022-01-11,12.0,12.0,0.0,0.0,,
呼伦贝尔市,呼伦贝尔,1507,2022-01-11,596.0,596.0,0.0,0.0,,
巴彦淖尔市,巴彦淖尔,1508,2022-01-11,8.0,7.0,1.0,0.0,,
乌兰察布市,乌兰察布,1509,2022-01-11,3.0,3.0,0.0,0.0,,
兴安盟,兴安盟,1522,2022-01-11,1.0,1.0,0.0,0.0,,
锡林郭勒盟,锡林郭勒盟,1525,2021-10-15,1.0,0.0,0.0,1.0,,
阿拉善盟,阿拉善盟,1529,2022-01-11,165.0,165.0,0.0,0.0,,
辽宁省,辽宁,21,2022-01-11,802.0,793.0,2.0,0.0,0.0,0.0
沈阳市,沈阳,2101,2022-01-11,78.0,78.0,0.0,0.0,,
大连市,大连,2102,2022-01-11,470.0,470.0,0.0,0.0,,
鞍山市,鞍山,2103,2022-01-11,4.0,4.0,0.0,0.0,,
抚顺市,抚顺,2104,2022-01-11,1.0,1.0,0.0,0.0,,
本溪市,本溪,2105,2022-01-11,3.0,3.0,0.0,0.0,,
丹东市,丹东,2106,2022-01-11,11.0,11.0,0.0,0.0,,
锦州市,锦州,2107,2022-01-11,12.0,12.0,0.0,0.0,,
营口市,营口,2108,2022-01-11,11.0,11.0,0.0,0.0,,
阜新市,阜新,2109,2022-01-11,8.0,8.0,0.0,0.0,,
辽阳市,辽阳,2110,2022-01-11,3.0,3.0,0.0,0.0,,
盘锦市,盘锦,2111,2022-01-11,11.0,11.0,0.0,0.0,,
铁岭市,铁岭,2112,2022-01-11,8.0,8.0,0.0,0.0,,
朝阳市,朝阳,2113,2020-07-31,0.0,0.0,0.0,0.0,0.0,0.0
葫芦岛市,葫芦岛,2114,2022-01-11,12.0,11.0,1.0,0.0,,
吉林省,吉林,22,2022-01-11,590.0,584.0,3.0,0.0,0.0,0.0
长春市,长春,2201,2022-01-11,150.0,150.0,0.0,0.0,,
吉林市,吉林,2202,2022-01-11,50.0,49.0,1.0,0.0,,
四平市,四平,2203,2022-01-11,17.0,16.0,1.0,0.0,,
辽源市,辽源,2204,2022-01-11,7.0,7.0,0.0,0.0,,
通化市,通化,2205,2022-01-11,313.0,312.0,1.0,0.0,,
白山市,白山,2206,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
松原市,松原,2207,2022-01-11,6.0,6.0,0.0,0.0,,
白城市,白城,2208,2022-01-11,1.0,1.0,0.0,0.0,,
延边朝鲜族自治州,延边,2224,2022-01-11,5.0,5.0,0.0,0.0,,
黑龙江省,黑龙江,23,2022-01-11,2035.0,2022.0,13.0,0.0,0.0,0.0
哈尔滨市,哈尔滨,2301,2022-01-11,546.0,542.0,4.0,0.0,,
齐齐哈尔市,齐齐哈尔,2302,2022-01-11,45.0,44.0,1.0,0.0,,
鸡西市,鸡西,2303,2022-01-11,46.0,46.0,0.0,0.0,,
鹤岗市,鹤岗,2304,2022-01-11,5.0,5.0,0.0,0.0,,
双鸭山市,双鸭山,2305,2022-01-11,52.0,49.0,3.0,0.0,,
大庆市,大庆,2306,2022-01-11,29.0,28.0,1.0,0.0,,
伊春市,伊春,2307,2022-01-11,1.0,1.0,0.0,0.0,,
佳木斯市,佳木斯,2308,2022-01-11,15.0,15.0,0.0,0.0,,
七台河市,七台河,2309,2022-01-11,17.0,17.0,0.0,0.0,,
牡丹江市,牡丹江,2310,2022-01-11,36.0,36.0,0.0,0.0,,
黑河市,黑河,2311,2022-01-11,295.0,295.0,0.0,0.0,,
绥化市,绥化,2312,2022-01-11,537.0,533.0,4.0,0.0,,
大兴安岭地区,大兴安岭,2327,2022-01-11,3.0,3.0,0.0,0.0,,
上海市,上海,31,2022-01-11,3352.0,3005.0,7.0,27.0,4.0,0.0
黄浦区,黄浦,310101,2022-01-11,22.0,22.0,0.0,0.0,,
徐汇区,徐汇,310104,2022-01-11,18.0,17.0,1.0,0.0,,
长宁区,长宁,310105,2022-01-11,14.0,14.0,0.0,0.0,,
静安区,静安,310106,2022-01-11,17.0,16.0,1.0,0.0,,
普陀区,普陀,310107,2022-01-11,11.0,11.0,0.0,0.0,,
虹口区,虹口,310109,2022-01-11,7.0,7.0,0.0,0.0,,
杨浦区,杨浦,310110,2022-01-11,9.0,9.0,0.0,0.0,,
闵行区,闵行,310112,2022-01-11,19.0,19.0,0.0,0.0,,
宝山区,宝山,310113,2022-01-11,26.0,25.0,1.0,0.0,,
嘉定区,嘉定,310114,2022-01-11,9.0,7.0,2.0,0.0,,
浦东新区,浦东新区,310115,2020-08-14,0.0,0.0,0.0,0.0,0.0,0.0
金山区,金山,310116,2022-01-11,4.0,4.0,0.0,0.0,,
松江区,松江,310117,2022-01-11,16.0,16.0,0.0,0.0,,
青浦区,青浦,310118,2022-01-11,7.0,7.0,0.0,0.0,,
奉贤区,奉贤,310120,2022-01-11,9.0,9.0,0.0,0.0,,
崇明区,,310151,,,,,,,
江苏省,江苏,32,2022-01-11,1628.0,1622.0,0.0,1.0,0.0,0.0
南京市,南京,3201,2022-01-11,331.0,330.0,0.0,0.0,,
无锡市,无锡,3202,2022-01-11,55.0,55.0,0.0,0.0,,
徐州市,徐州,3203,2022-01-11,79.0,79.0,0.0,0.0,,
常州市,常州,3204,2022-01-11,54.0,54.0,0.0,0.0,,
苏州市,苏州,3205,2022-01-11,87.0,87.0,0.0,0.0,,
南通市,南通,3206,2022-01-11,40.0,40.0,0.0,0.0,,
连云港市,连云港,3207,2022-01-11,48.0,48.0,0.0,0.0,,
淮安市,淮安,3208,2022-01-11,78.0,78.0,0.0,0.0,,
盐城市,盐城,3209,2022-01-11,27.0,27.0,0.0,0.0,,
扬州市,扬州,3210,2022-01-11,593.0,593.0,0.0,0.0,,
镇江市,镇江,3211,2022-01-11,12.0,12.0,0.0,0.0,,
泰州市,泰州,3212,2022-01-11,37.0,37.0,0.0,0.0,,
宿迁市,宿迁,3213,2022-01-11,16.0,16.0,0.0,0.0,,
浙江省,浙江,33,2022-01-11,2085.0,1542.0,1.0,7.0,0.0,0.0
杭州市,杭州,3301,2022-01-11,213.0,185.0,0.0,0.0,,
宁波市,宁波,3302,2022-01-11,269.0,159.0,0.0,0.0,,
温州市,温州,3303,2022-01-11,504.0,503.0,1.0,0.0,,
嘉兴市,嘉兴,3304,2022-01-11,46.0,46.0,0.0,0.0,,
湖州市,湖州,3305,2022-01-11,10.0,10.0,0.0,0.0,,
绍兴市,绍兴,3306,2022-01-11,429.0,92.0,0.0,0.0,,
金华市,金华,3307,2022-01-11,57.0,55.0,0.0,0.0,,
衢州市,衢州,3308,2022-01-11,14.0,14.0,0.0,0.0,,
舟山市,舟山,3309,2022-01-11,10.0,10.0,0.0,0.0,,
台州市,台州,3310,2022-01-11,147.0,147.0,0.0,0.0,,
丽水市,丽水,3311,2022-01-11,17.0,17.0,0.0,0.0,,
安徽省,安徽,34,2022-01-11,1009.0,1003.0,6.0,0.0,0.0,0.0
合肥市,合肥,3401,2022-01-11,176.0,175.0,1.0,0.0,,
芜湖市,芜湖,3402,2022-01-11,34.0,34.0,0.0,0.0,,
蚌埠市,蚌埠,3403,2022-01-11,160.0,155.0,5.0,0.0,,
淮南市,淮南,3404,2022-01-11,27.0,27.0,0.0,0.0,,
马鞍山市,马鞍山,3405,2022-01-11,38.0,38.0,0.0,0.0,,
淮北市,淮北,3406,2022-01-11,27.0,27.0,0.0,0.0,,
铜陵市,铜陵,3407,2022-01-11,29.0,29.0,0.0,0.0,,
安庆市,安庆,3408,2022-01-11,83.0,83.0,0.0,0.0,,
黄山市,黄山,3410,2022-01-11,9.0,9.0,0.0,0.0,,
滁州市,滁州,3411,2022-01-11,13.0,13.0,0.0,0.0,,
阜阳市,阜阳,3412,2022-01-11,156.0,156.0,0.0,0.0,,
宿州市,宿州,3413,2022-01-11,42.0,42.0,0.0,0.0,,
六安市,六安,3415,2022-01-11,77.0,77.0,0.0,0.0,,
亳州市,亳州,3416,2022-01-11,108.0,108.0,0.0,0.0,,
池州市,池州,3417,2022-01-11,17.0,17.0,0.0,0.0,,
宣城市,宣城,3418,2022-01-11,6.0,6.0,0.0,0.0,,
福建省,福建,35,2022-01-11,1425.0,1331.0,1.0,10.0,3.0,0.0
福州市,福州,3501,2022-01-11,72.0,71.0,1.0,0.0,,
厦门市,厦门,3502,2022-01-11,276.0,275.0,0.0,0.0,,
莆田市,莆田,3503,2022-01-11,261.0,261.0,0.0,0.0,,
三明市,三明,3504,2022-01-11,14.0,14.0,0.0,0.0,,
泉州市,泉州,3505,2022-01-11,71.0,71.0,0.0,0.0,,
漳州市,漳州,3506,2022-01-11,23.0,23.0,0.0,0.0,,
南平市,南平,3507,2022-01-11,20.0,20.0,0.0,0.0,,
龙岩市,龙岩,3508,2022-01-11,6.0,6.0,0.0,0.0,,
宁德市,宁德,3509,2022-01-11,26.0,26.0,0.0,0.0,,
江西省,江西,36,2022-01-11,959.0,958.0,1.0,0.0,0.0,0.0
南昌市,南昌,3601,2022-01-11,231.0,231.0,0.0,0.0,,
景德镇市,景德镇,3602,2022-01-11,6.0,6.0,0.0,0.0,,
萍乡市,萍乡,3603,2022-01-11,33.0,33.0,0.0,0.0,,
九江市,九江,3604,2022-01-11,117.0,117.0,0.0,0.0,,
新余市,新余,3605,2022-01-11,129.0,129.0,0.0,0.0,,
鹰潭市,鹰潭,3606,2022-01-11,18.0,18.0,0.0,0.0,,
赣州市,赣州,3607,2022-01-11,74.0,73.0,1.0,0.0,,
吉安市,吉安,3608,2022-01-11,22.0,22.0,0.0,0.0,,
宜春市,宜春,3609,2022-01-11,106.0,106.0,0.0,0.0,,
抚州市,抚州,3610,2022-01-11,72.0,72.0,0.0,0.0,,
上饶市,上饶,3611,2022-01-11,144.0,144.0,0.0,0.0,,
山东省,山东,37,2022-01-11,1050.0,1020.0,7.0,0.0,0.0,0.0
济南市,济南,3701,2022-01-11,47.0,47.0,0.0,0.0,,
青岛市,青岛,3702,2022-01-11,80.0,79.0,1.0,0.0,,
淄博市,淄博,3703,2022-01-11,30.0,29.0,1.0,0.0,,
枣庄市,枣庄,3704,2022-01-11,24.0,24.0,0.0,0.0,,
东营市,东营,3705,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
烟台市,烟台,3706,2022-01-11,58.0,58.0,0.0,0.0,,
潍坊市,潍坊,3707,2022-01-11,44.0,44.0,0.0,0.0,,
济宁市,济宁,3708,2022-01-11,260.0,260.0,0.0,0.0,,
泰安市,泰安,3709,2022-01-11,35.0,33.0,2.0,0.0,,
威海市,威海,3710,2022-01-11,38.0,37.0,1.0,0.0,,
日照市,日照,3711,2022-01-11,30.0,30.0,0.0,0.0,,
莱芜市,莱芜,3712,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
临沂市,临沂,3713,2022-01-11,49.0,49.0,0.0,0.0,,
德州市,德州,3714,2022-01-11,37.0,35.0,2.0,0.0,,
聊城市,聊城,3715,2022-01-11,38.0,38.0,0.0,0.0,,
滨州市,滨州,3716,2022-01-11,15.0,15.0,0.0,0.0,,
菏泽市,菏泽,3717,2022-01-11,18.0,18.0,0.0,0.0,,
河南省,河南,41,2022-01-11,2085.0,1607.0,22.0,144.0,2.0,0.0
郑州市,郑州,4101,2022-01-11,452.0,325.0,5.0,11.0,,
开封市,开封,4102,2022-01-11,33.0,30.0,0.0,0.0,,
洛阳市,洛阳,4103,2022-01-11,41.0,30.0,1.0,0.0,,
平顶山市,平顶山,4104,2022-01-11,58.0,57.0,1.0,0.0,,
安阳市,安阳,4105,2022-01-11,130.0,54.0,0.0,58.0,,
鹤壁市,鹤壁,4106,2022-01-11,19.0,19.0,0.0,0.0,,
新乡市,新乡,4107,2022-01-11,57.0,54.0,3.0,0.0,,
焦作市,焦作,4108,2022-01-11,32.0,31.0,1.0,0.0,,
濮阳市,濮阳,4109,2022-01-11,17.0,17.0,0.0,0.0,,
许昌市,许昌,4110,2022-01-11,274.0,38.0,1.0,74.0,,
漯河市,漯河,4111,2022-01-11,36.0,36.0,0.0,0.0,,
三门峡市,三门峡,4112,2022-01-11,7.0,6.0,1.0,0.0,,
南阳市,南阳,4113,2022-01-11,156.0,153.0,3.0,0.0,,
商丘市,商丘,4114,2022-01-11,109.0,101.0,3.0,0.0,,
信阳市,信阳,4115,2022-01-11,276.0,272.0,2.0,0.0,,
周口市,周口,4116,2022-01-11,101.0,76.0,1.0,0.0,,
驻马店市,驻马店,4117,2022-01-11,143.0,140.0,0.0,0.0,,
济源市,,419001,,,,,,,
湖北省,湖北,42,2022-01-11,68320.0,63804.0,4512.0,0.0,0.0,0.0
武汉市,武汉,4201,2022-01-11,50380.0,46511.0,3869.0,0.0,,
黄石市,黄石,4202,2022-01-11,1015.0,976.0,39.0,0.0,,
十堰市,十堰,4203,2022-01-11,672.0,664.0,8.0,0.0,,
宜昌市,宜昌,4205,2022-01-11,931.0,894.0,37.0,0.0,,
襄阳市,襄阳,4206,2022-01-11,1175.0,1135.0,40.0,0.0,,
鄂州市,鄂州,4207,2022-01-11,1395.0,1336.0,59.0,0.0,,
荆门市,荆门,4208,2022-01-11,971.0,930.0,41.0,0.0,,
孝感市,孝感,4209,2022-01-11,3518.0,3389.0,129.0,0.0,,
荆州市,荆州,4210,2022-01-11,1582.0,1530.0,52.0,0.0,,
黄冈市,黄冈,4211,2022-01-11,2912.0,2787.0,125.0,0.0,,
咸宁市,咸宁,4212,2022-01-11,836.0,821.0,15.0,0.0,,
随州市,随州,4213,2022-01-11,1307.0,1262.0,45.0,0.0,,
恩施土家族苗族自治州,恩施州,4228,2022-01-11,252.0,245.0,7.0,0.0,,
仙桃市,,429004,,,,,,,
潜江市,,429005,,,,,,,
天门市,天门,429006,2022-01-11,498.0,483.0,15.0,0.0,,
神农架林区,,429021,,,,,,,
湖南省,湖南,43,2022-01-11,1229.0,1199.0,4.0,0.0,0.0,0.0
长沙市,长沙,4301,2022-01-11,247.0,245.0,2.0,0.0,,
株洲市,株洲,4302,2022-01-11,110.0,110.0,0.0,0.0,,
湘潭市,湘潭,4303,2022-01-11,38.0,38.0,0.0,0.0,,
衡阳市,衡阳,4304,2022-01-11,48.0,48.0,0.0,0.0,,
邵阳市,邵阳,4305,2022-01-11,102.0,101.0,1.0,0.0,,
岳阳市,岳阳,4306,2022-01-11,156.0,155.0,1.0,0.0,,
常德市,常德,4307,2022-01-11,82.0,82.0,0.0,0.0,,
张家界市,张家界,4308,2022-01-11,77.0,77.0,0.0,0.0,,
益阳市,益阳,4309,2022-01-11,63.0,63.0,0.0,0.0,,
郴州市,郴州,4310,2022-01-11,39.0,39.0,0.0,0.0,,
永州市,永州,4311,2022-01-11,44.0,44.0,0.0,0.0,,
怀化市,怀化,4312,2022-01-11,40.0,40.0,0.0,0.0,,
娄底市,娄底,4313,2022-01-11,76.0,76.0,0.0,0.0,,
湘西土家族苗族自治州,湘西自治州,4331,2022-01-11,10.0,10.0,0.0,0.0,,
广东省,广东,44,2022-01-11,3557.0,3381.0,8.0,18.0,4.0,0.0
广州市,广州,4401,2022-01-11,526.0,522.0,1.0,0.0,,
韶关市,韶关,4402,2022-01-11,10.0,9.0,1.0,0.0,,
深圳市,深圳,4403,2022-01-11,435.0,428.0,3.0,0.0,,
珠海市,珠海,4404,2022-01-11,98.0,97.0,1.0,0.0,,
汕头市,汕头,4405,2022-01-11,25.0,25.0,0.0,0.0,,
佛山市,佛山,4406,2022-01-11,101.0,101.0,0.0,0.0,,
江门市,江门,4407,2022-01-11,23.0,23.0,0.0,0.0,,
湛江市,湛江,4408,2022-01-11,23.0,23.0,0.0,0.0,,
茂名市,茂名,4409,2022-01-11,14.0,14.0,0.0,0.0,,
肇庆市,肇庆,4412,2022-01-11,19.0,18.0,1.0,0.0,,
惠州市,惠州,4413,2022-01-11,62.0,62.0,0.0,0.0,,
梅州市,梅州,4414,2022-01-11,16.0,16.0,0.0,0.0,,
汕尾市,汕尾,4415,2022-01-11,6.0,6.0,0.0,0.0,,
河源市,河源,4416,2022-01-11,5.0,5.0,0.0,0.0,,
阳江市,阳江,4417,2022-01-11,14.0,14.0,0.0,0.0,,
清远市,清远,4418,2022-01-11,12.0,12.0,0.0,0.0,,
潮州市,潮州,4451,2022-01-11,5.0,5.0,0.0,0.0,,
揭阳市,揭阳,4452,2022-01-11,10.0,10.0,0.0,0.0,,
云浮市,云浮,4453,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
东莞市,,441900,,,,,,,
中山市,,442000,,,,,,,
广西壮族自治区,广西,45,2022-01-11,673.0,436.0,2.0,5.0,13.0,0.0
南宁市,南宁,4501,2022-01-11,56.0,56.0,0.0,0.0,,
柳州市,柳州,4502,2022-01-11,24.0,24.0,0.0,0.0,,
桂林市,桂林,4503,2022-01-11,32.0,32.0,0.0,0.0,,
梧州市,梧州,4504,2022-01-11,5.0,5.0,0.0,0.0,,
北海市,北海,4505,2022-01-11,44.0,43.0,1.0,0.0,,
防城港市,防城港,4506,2022-01-11,39.0,22.0,0.0,0.0,,
钦州市,钦州,4507,2022-01-11,8.0,8.0,0.0,0.0,,
贵港市,贵港,4508,2022-01-11,8.0,8.0,0.0,0.0,,
玉林市,玉林,4509,2022-01-11,11.0,11.0,0.0,0.0,,
百色市,百色,4510,2022-01-11,3.0,3.0,0.0,0.0,,
贺州市,贺州,4511,2022-01-11,4.0,4.0,0.0,0.0,,
河池市,河池,4512,2022-01-11,28.0,27.0,1.0,0.0,,
来宾市,来宾,4513,2022-01-11,11.0,11.0,0.0,0.0,,
崇左市,崇左,4514,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
海南省,海南,46,2022-01-11,190.0,184.0,6.0,0.0,0.0,0.0
海口市,海口,4601,2022-01-11,41.0,41.0,0.0,0.0,,
三亚市,三亚,4602,2022-01-11,55.0,54.0,1.0,0.0,,
三沙市,,4603,,,,,,,
五指山市,,469001,,,,,,,
琼海市,,469002,,,,,,,
文昌市,,469005,,,,,,,
万宁市,,469006,,,,,,,
东方市,,469007,,,,,,,
定安县,,469021,,,,,,,
屯昌县,,469022,,,,,,,
澄迈县,,469023,,,,,,,
临高县,,469024,,,,,,,
白沙黎族自治县,,469025,,,,,,,
昌江黎族自治县,,469026,,,,,,,
乐东黎族自治县,,469027,,,,,,,
陵水黎族自治县,,469028,,,,,,,
保亭黎族苗族自治县,,469029,,,,,,,
琼中黎族苗族自治县,,469030,,,,,,,
儋州市,,460400,,,,,,,
重庆市,重庆,50,2022-01-11,611.0,605.0,6.0,0.0,0.0,0.0
万州区,万州,500101,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
涪陵区,涪陵,500102,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
渝中区,渝中,500103,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
大渡口区,大渡口区,500104,2022-01-11,7.0,7.0,0.0,0.0,,
江北区,江北,500105,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
沙坪坝区,沙坪坝,500106,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
九龙坡区,九龙坡,500107,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
南岸区,南岸,500108,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
北碚区,北碚,500109,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
綦江区,綦江,500110,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
大足区,大足,500111,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
渝北区,渝北,500112,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
巴南区,巴南,500113,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
黔江区,黔江,500114,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
长寿区,长寿,500115,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
江津区,江津,500116,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
合川区,合川,500117,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
永川区,永川,500118,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
南川区,南川,500119,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0
璧山区,万盛经开区,500120,2022-01-11,1.0,1.0,0.0,0.0,,
铜梁区,,500151,,,,,,,
潼南区,,500152,,,,,,,
荣昌区,,500153,,,,,,,
开州区,,500154,,,,,,,
县,,5002,,,,,,,
四川省,四川,51,2022-01-11,1344.0,1304.0,3.0,2.0,2.0,0.0
成都市,成都,5101,2022-01-11,191.0,172.0,3.0,0.0,,
自贡市,自贡,5103,2022-01-11,10.0,10.0,0.0,0.0,,
攀枝花市,攀枝花,5104,2022-01-11,16.0,16.0,0.0,0.0,,
泸州市,泸州,5105,2022-01-11,25.0,25.0,0.0,0.0,,
德阳市,德阳,5106,2022-01-11,18.0,18.0,0.0,0.0,,
绵阳市,绵阳,5107,2022-01-11,23.0,23.0,0.0,0.0,,
广元市,广元,5108,2022-01-11,6.0,6.0,0.0,0.0,,
遂宁市,遂宁,5109,2022-01-11,17.0,17.0,0.0,0.0,,
内江市,内江,5110,2022-01-11,22.0,22.0,0.0,0.0,,
乐山市,乐山,5111,2022-01-11,3.0,3.0,0.0,0.0,,
南充市,南充,5113,2022-01-11,39.0,39.0,0.0,0.0,,
眉山市,眉山,5114,2022-01-11,8.0,8.0,0.0,0.0,,
宜宾市,宜宾,5115,2022-01-11,13.0,13.0,0.0,0.0,,
广安市,广安,5116,2022-01-11,30.0,30.0,0.0,0.0,,
达州市,达州,5117,2022-01-11,42.0,42.0,0.0,0.0,,
雅安市,雅安,5118,2022-01-11,8.0,8.0,0.0,0.0,,
巴中市,巴中,5119,2022-01-11,24.0,24.0,0.0,0.0,,
资阳市,资阳,5120,2022-01-11,4.0,4.0,0.0,0.0,,
阿坝藏族羌族自治州,阿坝州,5132,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
甘孜藏族自治州,甘孜州,5133,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
凉山彝族自治州,凉山,5134,2022-01-11,13.0,13.0,0.0,0.0,,
贵州省,贵州,52,2022-01-11,160.0,157.0,2.0,0.0,0.0,0.0
贵阳市,贵阳,5201,2022-01-11,36.0,35.0,1.0,0.0,,
六盘水市,六盘水,5202,2022-01-11,10.0,9.0,1.0,0.0,,
遵义市,遵义,5203,2022-01-11,44.0,44.0,0.0,0.0,,
安顺市,安顺,5204,2022-01-11,4.0,4.0,0.0,0.0,,
毕节市,毕节,5205,2022-01-11,23.0,23.0,0.0,0.0,,
铜仁市,铜仁,5206,2022-01-11,11.0,10.0,0.0,0.0,,
黔西南布依族苗族自治州,黔西南州,5223,2022-01-11,4.0,4.0,0.0,0.0,,
黔东南苗族侗族自治州,黔东南州,5226,2022-01-11,10.0,10.0,0.0,0.0,,
