CityName,CityCode,ParentCode
肇庆市,4412,44
惠州市,4413,44
梅州市,4414,44
汕尾市,4415,44
河源市,4416,44
阳江市,4417,44
清远市,4418,44
东莞市,4419,44
中山市,4420,44
潮州市,4451,44
揭阳市,4452,44
云浮市,4453,44
南宁市,4501,45
柳州市,4502,45
桂林市,4503,45
梧州市,4504,45
北海市,4505,45
防城港市,4506,45
钦州市,4507,45
贵港市,4508,45
玉林市,4509,45
百色市,4510,45
贺州市,4511,45
河池市,4512,45
来宾市,4513,45
崇左市,4514,45
海口市,4601,46
三亚市,4602,46
三沙市,4603,46
儋州市,4604,46
县,5002,50
成都市,5101,51
自贡市,5103,51
攀枝花市,5104,51
泸州市,5105,51
德阳市,5106,51
绵阳市,5107,51
广元市,5108,51
遂宁市,5109,51
内江市,5110,51
乐山市,5111,51
南充市,5113,51
眉山市,5114,51
宜宾市,5115,51
广安市,5116,51
达州市,5117,51
雅安市,5118,51
巴中市,5119,51
资阳市,5120,51
阿坝藏族羌族自治州,5132,51
甘孜藏族自治州,5133,51
凉山彝族自治州,5134,51
贵阳市,5201,52
六盘水市,5202,52
遵义市,5203,52
安顺市,5204,52
毕节市,5205,52
铜仁市,5206,52
黔西南布依族苗族自治州,5223,52
黔东南苗族侗族自治州,5226,52
黔南布依族苗族自治州,5227,52
昆明市,5301,53
曲靖市,5303,53
玉溪市,5304,53
保山市,5305,53
昭通市,5306,53
丽江市,5307,53
普洱市,5308,53
临沧市,5309,53
楚雄彝族自治州,5323,53
红河哈尼族彝族自治州,5325,53
文山壮族苗族自治州,5326,53
西双版纳傣族自治州,5328,53
大理白族自治州,5329,53
德宏傣族景颇族自治州,5331,53
怒江傈僳族自治州,5333,53
迪庆藏族自治州,5334,53
拉萨市,5401,54
日喀则市,5402,54
昌都市,5403,54
林芝市,5404,54
山南市,5405,54
那曲地区,5424,54
阿里地区,5425,54
西安市,6101,61
铜川市,6102,61
宝鸡市,6103,61
咸阳市,6104,61
渭南市,6105,61
延安市,6106,61
汉中市,6107,61
榆林市,6108,61
安康市,6109,61
商洛市,6110,61
兰州市,6201,62
金昌市,6203,62
白银市,6204,62
天水市,6205,62
武威市,6206,62
张掖市,6207,62
平凉市,6208,62
酒泉市,6209,62
庆阳市,6210,62
定西市,6211,62
陇南市,6212,62
临夏回族自治州,6229,62
甘南藏族自治州,6230,62
西宁市,6301,63
海东市,6302,63
海北藏族自治州,6322,63
黄南藏族自治州,6323,63
海南藏族自治州,6325,63
果洛藏族自治州,6326,63
玉树藏族自治州,6327,63
海西蒙古族藏族自治州,6328,63
银川市,6401,64
石嘴山市,6402,64
吴忠市,6403,64
固原市,6404,64
中卫市,6405,64
乌鲁木齐市,6501,65
克拉玛依市,6502,65
吐鲁番市,6504,65
哈密市,6505,65
昌吉回族自治州,6523,65
博尔塔拉蒙古自治州,6527,65
巴音郭楞蒙古自治州,6528,65
阿克苏地区,6529,65
克孜勒苏柯尔克孜自治州,6530,65
喀什地区,6531,65
和田地区,6532,65
伊犁哈萨克自治州,6540,65
塔城地区,6542,65
阿勒泰地区,6543,65
东城区,110101,11
西城区,110102,11
朝阳区,110105,11
丰台区,110106,11
石景山区,110107,11
海淀区,110108,11
门头沟区,110109,11
房山区,110111,11
通州区,110112,11
顺义区,110113,11
昌平区,110114,11
大兴区,110115,11
怀柔区,110116,11
平谷区,110117,11
密云区,110118,11
延庆区,110119,11
和平区,120101,12
河东区,120102,12
河西区,120103,12
南开区,120104,12
河北区,120105,12
红桥区,120106,12
东丽区,120110,12
西青区,120111,12
津南区,120112,12
北辰区,120113,12
武清区,120114,12
宝坻区,120115,12
滨海新区,120116,12
宁河区,120117,12
静海区,120118,12
蓟州区,120119,12
定州市,139001,13
辛集市,139002,13
黄浦区,310101,31
徐汇区,310104,31
长宁区,310105,31
静安区,310106,31
普陀区,310107,31
虹口区,310109,31
杨浦区,310110,31
闵行区,310112,31
宝山区,310113,31
嘉定区,310114,31
浦东新区,310115,31
金山区,310116,31
松江区,310117,31
青浦区,310118,31
奉贤区,310120,31
崇明区,310151,31
济源市,419001,41
仙桃市,429004,42
潜江市,429005,42
天门市,429006,42
神农架林区,429021,42
五指山市,469001,46
琼海市,469002,46
文昌市,469005,46
万宁市,469006,46
东方市,469007,46
定安县,469021,46
屯昌县,469022,46
澄迈县,469023,46
临高县,469024,46
白沙黎族自治县,469025,46
昌江黎族自治县,469026,46
乐东黎族自治县,469027,46
陵水黎族自治县,469028,46
保亭黎族苗族自治县,469029,46
琼中黎族苗族自治县,469030,46
万州区,500101,50
涪陵区,500102,50
渝中区,500103,50
大渡口区,500104,50
江北区,500105,50
沙坪坝区,500106,50
九龙坡区,500107,50
南岸区,500108,50
北碚区,500109,50
綦江区,500110,50
大足区,500111,50
渝北区,500112,50
巴南区,500113,50
黔江区,500114,50
长寿区,500115,50
江津区,500116,50
合川区,500117,50
永川区,500118,50
南川区,500119,50
璧山区,500120,50
铜梁区,500151,50
潼南区,500152,50
荣昌区,500153,50
开州区,500154,50
嘉峪关市,620201,62
石河子市,659001,65
阿拉尔市,659002,65
图木舒克市,659003,65
五家渠市,659004,65
铁门关市,659006,65
